img_entrenamiento,validacion,preprocesamiento,inpaint,RGB_gray,arquitectura,capas,filtros,neuronas,test,Acc,Bal_acc,F_score,Kappa,AUC,Tiempo(mins)
OCT,No,No,No,RGB,Alqudah,6,1.0,0/0,iphone,0.35353535353535354,0.1928904428904429,0.3322056448671436,0.01077283372365323,0.5009914633515553,4.876948157946269
OCT,No,No,No,RGB,Alqudah,6,1.0,0/0,Samsung,0.4731182795698925,0.296273556231003,0.4158579344617439,0.12010040548368406,0.592712736259865,4.876948157946269
OCT,No,No,No,RGB,Ghosh,6,2.0,256/1024/512,iphone,0.45454545454545453,0.19734848484848486,0.3358024691358025,0.004469273743016866,0.4862397278825584,9.137577124436696
OCT,No,No,No,RGB,Ghosh,6,2.0,256/1024/512,Samsung,0.46236559139784944,0.19046808510638297,0.3494978140139431,-0.03379279679857716,0.5172048391765625,9.137577124436696
OCT,No,No,No,RGB,Alqudah,6,1.0,512/256,iphone,0.2828282828282828,0.2409965034965035,0.29067507655742947,0.0427618139724909,0.49415384633330167,6.574306925137837
OCT,No,No,No,RGB,Alqudah,6,1.0,512/256,Samsung,0.3655913978494624,0.3058723404255319,0.3694812592036898,0.08136614766449013,0.5209067347924468,6.574306925137837
OCT,No,No,No,RGB,Mobeen,2,1.0,128/64,iphone,0.20202020202020202,0.15638111888111889,0.2054145965284889,-0.03520847121111825,0.5099271558838157,15.34300073782603
OCT,No,No,No,RGB,Mobeen,2,1.0,128/64,Samsung,0.26881720430107525,0.21808510638297873,0.3058635368224207,0.009863785814936743,0.5478321316101152,15.34300073782603
OCT,No,No,No,RGB,Alqudah,6,1.0,128/64,iphone,0.42424242424242425,0.2168997668997669,0.3579930962283903,0.05461551348634619,0.5241410134380535,5.239098381996155
OCT,No,No,No,RGB,Alqudah,6,1.0,128/64,Samsung,0.5161290322580645,0.30278419452887534,0.45628794034990966,0.17243424955507214,0.5294970875935854,5.239098381996155
OCT,No,No,No,RGB,Ghosh,6,2.0,128/512/256,iphone,0.3434343434343434,0.15288461538461537,0.2735778841041999,-0.07680722891566272,0.4813029693019744,9.027189866701763
OCT,No,No,No,RGB,Ghosh,6,2.0,128/512/256,Samsung,0.43010752688172044,0.1702127659574468,0.32087386926096606,-0.010040983606557363,0.4399320159232129,9.027189866701763
OCT,No,No,No,RGB,Alqudah,6,1.0,64/128,iphone,0.29292929292929293,0.24653263403263406,0.30584169009576495,0.04859967051070824,0.4974592518399258,5.055665489037832
OCT,No,No,No,RGB,Alqudah,6,1.0,64/128,Samsung,0.4731182795698925,0.2651914893617021,0.4267119411431805,0.1094391244870041,0.5710027720013191,5.055665489037832
OCT,No,No,No,RGB,Mobeen,2,1.0,64/32,iphone,0.20202020202020202,0.17196969696969697,0.10809249747302845,-0.035208471211118475,0.4612926483519383,9.78288511832555
OCT,No,No,No,RGB,Mobeen,2,1.0,64/32,Samsung,0.27956989247311825,0.16680851063829788,0.2645257189436712,-0.00209070440656145,0.5766546661884079,9.78288511832555
OCT,No,No,No,RGB,Alqudah,6,1.0,128/256,iphone,0.12121212121212122,0.19493006993006992,0.08245236245236245,-0.0001161170459822447,0.4724416455326789,5.1806790391604105
OCT,No,No,No,RGB,Alqudah,6,1.0,128/256,Samsung,0.34408602150537637,0.2538723404255319,0.34234049951929957,0.10548722800378418,0.5000166064263215,5.1806790391604105
OCT,No,No,No,RGB,Ghosh,6,2.0,64/256/128,iphone,0.48484848484848486,0.2,0.3166357452071738,0.0,0.4743653793663121,9.144263263543447
OCT,No,No,No,RGB,Ghosh,6,2.0,64/256/128,Samsung,0.5053763440860215,0.2,0.3393241167434715,0.0,0.5523263689046555,9.144263263543447
OCT,No,No,No,RGB,Mobeen,2,1.0,32/64,iphone,0.1717171717171717,0.15236013986013985,0.13167489006063432,-0.039702868852458995,0.49152508596296685,6.6617465138435366
OCT,No,No,No,RGB,Mobeen,2,1.0,32/64,Samsung,0.24731182795698925,0.161531914893617,0.21215612344644602,0.008679762448606798,0.5657989707642741,6.6617465138435366
OCT,No,No,No,RGB,Alqudah,6,0.5,0/0,iphone,0.37373737373737376,0.24781468531468534,0.3645945579527506,0.07823997597236831,0.5641698947599955,3.6177876472473143
OCT,No,No,No,RGB,Alqudah,6,0.5,0/0,Samsung,0.4946236559139785,0.20697872340425533,0.3951372549019608,0.07492063492063505,0.5301208998053298,3.6177876472473143
OCT,No,No,No,RGB,Alqudah,6,0.5,512/256,iphone,0.1414141414141414,0.22077505827505828,0.10655112083683513,0.004613200851667942,0.47109456959599977,3.7311051885286965
OCT,No,No,No,RGB,Alqudah,6,0.5,512/256,Samsung,0.26881720430107525,0.22182978723404254,0.3008628444112315,0.031694993109783964,0.5057756675676324,3.7311051885286965
OCT,No,No,No,RGB,Ghosh,6,2.0,128/256/512,iphone,0.48484848484848486,0.2,0.3166357452071738,0.0,0.4487217868218366,9.13823230266571
OCT,No,No,No,RGB,Ghosh,6,2.0,128/256/512,Samsung,0.5053763440860215,0.2,0.3393241167434715,0.0,0.47765867530121503,9.13823230266571
OCT,No,No,No,RGB,Alqudah,6,0.5,128/64,iphone,0.26262626262626265,0.16282051282051282,0.2498797498797499,-0.05104712041884807,0.5005125851328127,3.666139562924703
OCT,No,No,No,RGB,Mobeen,2,1.0,64/128,iphone,0.2828282828282828,0.21652097902097905,0.2379528546511469,0.04027853631895162,0.4539180595827779,9.672273671627044
OCT,No,No,No,RGB,Alqudah,6,0.5,128/64,Samsung,0.41935483870967744,0.26299696048632215,0.39316440815492043,0.07751653196179287,0.518602697407333,3.666139562924703
OCT,No,No,No,RGB,Mobeen,2,1.0,64/128,Samsung,0.27956989247311825,0.18553191489361703,0.21546556851978957,0.0031994880819067317,0.49111108854912244,9.672273671627044
OCT,No,No,No,RGB,Alqudah,6,0.5,64/128,iphone,0.12121212121212122,0.20075757575757577,0.09799134525789874,-0.0018611143422122556,0.5269003532877741,3.624551244576772
OCT,No,No,No,RGB,Alqudah,6,0.5,64/128,Samsung,0.3333333333333333,0.21361702127659576,0.3516266675475832,0.053512803676953324,0.48756999393729217,3.624551244576772
OCT,No,No,No,RGB,Mobeen,2,0.5,100/50,iphone,0.21212121212121213,0.1835664335664336,0.17753940293217588,-0.07071547420965074,0.4897392033514718,7.329638735453288
